dedo1,dedo2,dedo3,dedo4,dedo5,posicion_mano,movimiento,letra
999,246,831,278,723,1.07,False,c
0,74,51,41,72,0.99,False,e
0,75,78,39,81,0.96,False,e
0,74,55,41,78,0.99,False,e
0,69,48,36,75,1.01,False,e
0,73,51,37,83,0.98,False,e
0,76,46,33,83,1.00,False,e
0,76,41,31,78,0.99,False,e
0,67,30,21,69,1.00,False,e
0,68,32,20,63,0.99,False,e
0,66,27,20,49,1.01,False,e
0,67,34,20,52,1.00,False,e
0,67,37,22,55,1.00,False,e
0,73,44,31,60,1.00,False,e
0,69,51,25,56,0.99,False,e
0,69,46,24,62,0.99,False,e
0,68,51,23,59,1.01,False,e
0,68,37,26,68,0.98,False,e
0,68,34,28,63,0.99,False,e
0,69,41,29,78,1.00,False,e
0,70,44,27,65,1.00,False,e
0,72,44,28,69,1.00,False,e
0,69,44,28,70,0.98,False,e
0,68,39,29,65,0.99,False,e
0,71,44,32,66,0.99,False,e
0,67,41,32,69,1.00,False,e
0,70,46,32,81,0.98,False,e
0,73,41,35,69,0.99,False,e
0,70,44,33,66,0.97,False,e
0,73,37,33,72,0.99,False,e
0,69,46,31,72,1.00,False,e
256,825,497,184,141,0.89,False,d
258,798,492,187,141,0.90,False,d
249,834,497,190,131,0.90,False,d
246,821,499,185,131,0.90,False,d
244,797,494,180,140,0.91,False,d
249,812,497,186,147,0.89,False,d
248,815,501,189,138,0.90,False,d
247,838,497,193,144,0.90,False,d
247,801,501,188,147,0.89,False,d
262,760,492,178,138,0.90,False,d
265,767,494,178,144,0.89,False,d
266,741,501,178,151,0.88,False,d
268,761,499,187,147,0.87,False,d
263,733,506,183,149,0.89,False,d
261,753,515,186,153,0.88,False,d
260,736,515,184,153,0.91,False,d
259,755,513,182,147,0.88,False,d
258,755,508,179,146,0.89,False,d
261,762,508,182,143,0.89,False,d
261,734,515,184,153,0.88,False,d
265,738,506,183,147,0.90,False,d
259,746,497,187,147,0.89,False,d
261,752,499,188,141,0.91,False,d
275,725,501,192,147,0.89,False,d
272,747,513,191,150,0.89,False,d
277,738,487,191,147,0.89,False,d
277,746,504,189,147,0.89,False,d
272,713,508,188,147,0.90,False,d
271,740,499,188,147,0.89,False,d
266,747,520,200,159,0.89,False,d
495,443,999,852,894,0.49,False,f
531,452,999,794,946,0.49,False,f
536,457,999,865,920,0.47,False,f
513,446,999,866,933,0.49,False,f
526,448,999,842,934,0.49,False,f
533,433,999,815,934,0.49,False,f
534,438,999,815,930,0.49,False,f
536,442,999,833,894,0.49,False,f
533,434,999,870,934,0.49,False,f
532,443,999,859,913,0.49,False,f
547,455,999,845,999,0.49,False,f
546,465,999,813,999,0.48,False,f
551,463,999,818,999,0.50,False,f
549,470,999,902,999,0.50,False,f
534,464,999,893,999,0.52,False,f
536,460,999,911,999,0.50,False,f
542,455,999,859,999,0.51,False,f
536,458,999,793,999,0.49,False,f
544,450,999,706,999,0.50,False,f
538,444,999,765,999,0.48,False,f
541,447,999,831,999,0.49,False,f
533,463,999,895,999,0.50,False,f
543,464,999,705,999,0.51,False,f
535,458,999,670,999,0.48,False,f
541,459,999,812,999,0.50,False,f
549,460,999,841,999,0.49,False,f
544,464,999,853,999,0.51,False,f
570,463,999,857,999,0.49,False,f
564,450,999,851,999,0.52,False,f
555,444,999,862,999,0.49,False,f
999,611,27,41,69,0.71,False,g
999,609,37,42,66,0.70,False,g
999,625,34,44,69,0.71,False,g
999,611,34,40,66,0.71,False,g
999,603,51,44,66,0.71,False,g
999,604,41,47,69,0.69,False,g
999,594,37,50,62,0.70,False,g
999,601,34,48,57,0.71,False,g
999,603,32,50,59,0.70,False,g
999,606,25,50,62,0.70,False,g
999,609,41,52,68,0.70,False,g
999,608,27,50,76,0.69,False,g
999,611,41,56,63,0.71,False,g
999,606,41,54,69,0.70,False,g
999,601,41,55,66,0.71,False,g
999,625,41,55,72,0.70,False,g
999,622,46,55,69,0.71,False,g
999,606,32,51,75,0.70,False,g
999,597,41,56,69,0.71,False,g
999,597,39,57,72,0.71,False,g
999,599,41,57,66,0.71,False,g
999,605,39,57,70,0.70,False,g
999,610,44,56,72,0.71,False,g
999,609,34,56,57,0.69,False,g
999,614,41,57,73,0.70,False,g
999,611,44,60,66,0.71,False,g
999,616,32,60,60,0.70,False,g
999,607,44,59,66,0.69,False,g
999,618,41,64,70,0.70,False,g
999,616,41,62,63,0.69,False,g
999,874,999,854,366,0.73,False,h
999,874,999,870,374,0.71,False,h
999,869,999,888,373,0.73,False,h
999,873,999,897,379,0.72,False,h
999,891,999,893,367,0.73,False,h
999,890,999,893,374,0.72,False,h
999,879,999,901,373,0.73,False,h
999,864,999,862,371,0.73,False,h
999,857,999,863,370,0.75,False,h
999,857,999,849,370,0.73,False,h
999,867,999,861,374,0.74,False,h
999,859,999,839,360,0.74,False,h
999,866,999,923,367,0.73,False,h
999,863,999,867,371,0.74,False,h
999,857,999,880,370,0.74,False,h
999,869,999,870,370,0.74,False,h
999,889,999,857,373,0.72,False,h
999,999,999,865,382,0.73,False,h
999,996,999,848,396,0.73,False,h
999,999,999,854,397,0.73,False,h
999,957,999,861,396,0.73,False,h
999,955,999,866,392,0.72,False,h
999,954,999,863,384,0.73,False,h
999,950,999,889,393,0.74,False,h
999,936,999,866,384,0.74,False,h
999,940,999,843,393,0.74,False,h
999,932,999,833,382,0.73,False,h
999,940,999,869,393,0.73,False,h
999,941,999,872,396,0.72,False,h
999,946,999,855,393,0.74,False,h
0,193,464,199,999,0.63,False,i
0,195,469,189,999,0.62,False,i
0,193,466,202,999,0.62,False,i
0,196,462,203,999,0.62,False,i
0,194,466,203,999,0.62,False,i
0,193,460,210,999,0.62,False,i
0,195,462,204,999,0.64,False,i
0,195,457,205,999,0.62,False,i
0,195,460,206,999,0.64,False,i
0,194,469,207,999,0.62,False,i
0,192,455,201,999,0.62,False,i
0,196,462,203,999,0.64,False,i
0,195,464,205,999,0.64,False,i
0,197,460,204,999,0.64,False,i
0,197,469,201,999,0.62,False,i
0,200,471,201,999,0.65,False,i
0,195,473,215,999,0.63,False,i
0,195,480,207,999,0.64,False,i
0,194,483,201,999,0.65,False,i
0,197,469,201,999,0.64,False,i
0,193,464,201,999,0.66,False,i
0,195,478,201,999,0.64,False,i
0,197,469,207,999,0.65,False,i
0,195,464,195,999,0.65,False,i
0,195,469,192,999,0.63,False,i
0,195,473,191,999,0.65,False,i
0,198,480,192,999,0.65,False,i
0,196,469,188,999,0.63,False,i
0,197,476,186,999,0.63,False,i
0,192,478,190,999,0.64,False,i
0,204,562,357,999,-0.38,True,j
0,222,648,282,999,-1.45,True,j
0,237,610,255,999,0.52,False,j
185,292,685,632,999,0.64,True,j
53,240,708,452,999,-0.35,True,j
0,227,643,385,999,-0.49,True,j
0,220,615,351,999,-0.18,True,j
5,239,759,307,999,0.68,True,j
32,227,643,316,999,1.66,True,j
42,220,657,374,999,-0.21,True,j
0,216,559,306,999,0.59,False,j
0,223,583,360,999,-0.25,False,j
21,265,613,476,999,0.07,True,j
0,266,696,306,999,-0.12,True,j
69,263,636,305,999,1.20,False,j
83,246,669,375,999,1.15,True,j
0,228,613,383,999,1.65,True,j
0,230,608,380,999,-0.34,False,j
28,233,622,384,999,0.02,True,j
24,271,724,395,999,0.05,True,j
53,230,608,343,999,1.10,False,j
93,237,620,367,999,0.98,True,j
65,235,738,597,999,1.49,True,j
53,240,636,411,999,0.36,True,j
43,246,657,415,999,0.30,True,j
62,265,659,497,999,-0.55,True,j
0,242,594,373,999,0.43,True,j
0,230,562,332,999,0.98,False,j
0,235,610,351,999,0.60,True,j
0,228,571,343,999,1.47,True,j
999,730,999,139,373,2.07,False,k
999,704,999,193,361,1.83,True,k
999,700,999,228,312,1.03,True,k
999,727,999,384,355,-0.03,True,k
999,710,999,389,373,-0.09,True,k
999,711,999,193,376,1.05,True,k
999,702,999,159,419,1.73,False,k
999,700,999,232,408,1.52,True,k
999,734,999,467,379,0.52,True,k
999,716,999,452,363,-0.32,False,k
999,705,999,257,363,-0.12,True,k
999,713,999,140,437,1.70,True,k
999,685,999,158,397,2.08,True,k
999,684,999,168,354,0.58,True,k
982,710,999,227,390,-0.02,True,k
999,684,999,203,392,-0.03,True,k
999,745,999,106,547,2.20,True,k
999,744,999,119,467,2.03,True,k
999,705,999,198,373,1.14,True,k
994,711,999,324,403,0.48,True,k
981,702,999,278,409,-0.43,True,k
999,680,999,223,425,0.25,True,k
999,684,999,128,466,2.32,True,k
999,679,999,121,424,1.95,True,k
999,699,999,229,421,1.14,True,k
999,723,999,500,464,0.17,True,k
999,713,999,452,444,-0.15,True,k
999,723,999,135,396,0.64,True,k
730,703,999,129,471,1.95,False,k
642,713,999,209,399,1.06,True,k
923,665,95,70,204,1.02,False,l
930,669,111,75,201,1.04,False,l
948,669,116,73,201,1.03,False,l
944,664,97,68,205,1.05,False,l
854,647,83,74,206,1.02,False,l
875,650,111,76,201,1.05,False,l
894,653,106,79,199,1.03,False,l
897,665,97,79,208,1.03,False,l
861,650,88,77,217,1.04,False,l
864,647,106,77,214,1.04,False,l
855,650,111,77,217,1.04,False,l
840,669,97,77,214,1.05,False,l
829,642,99,78,208,1.03,False,l
840,654,88,78,212,1.04,False,l
849,665,85,77,214,1.03,False,l
771,646,90,76,208,1.03,False,l
802,667,92,76,214,1.03,False,l
804,651,111,78,212,1.04,False,l
777,641,113,76,212,1.02,False,l
772,647,92,74,211,1.05,False,l
760,636,116,75,212,1.02,False,l
771,635,95,77,211,1.03,False,l
775,639,97,78,212,1.03,False,l
779,651,118,79,215,1.05,False,l
784,640,116,79,211,1.04,False,l
722,647,120,78,211,1.03,False,l
722,667,111,80,208,1.04,False,l
738,659,116,78,211,1.04,False,l
735,669,113,80,211,1.05,False,l
769,672,120,78,212,1.02,False,l
184,687,999,569,244,0.95,False,m
185,717,999,574,240,0.95,False,m
169,716,999,545,231,0.97,False,m
167,701,999,587,221,0.96,False,m
166,702,999,590,218,0.96,False,m
173,702,999,623,234,0.97,False,m
169,698,999,587,234,0.96,False,m
176,693,999,587,230,0.96,False,m
177,694,999,588,237,0.97,False,m
178,700,999,574,234,0.96,False,m
178,702,999,598,224,0.96,False,m
178,700,999,593,237,0.96,False,m
177,701,999,590,241,0.96,False,m
178,698,999,590,240,0.97,False,m
179,703,999,585,243,0.96,False,m
169,702,999,583,240,0.96,False,m
170,702,999,607,224,0.98,False,m
175,708,999,602,224,0.95,False,m
176,704,999,601,231,0.97,False,m
169,701,999,597,224,0.98,False,m
168,708,999,615,219,0.97,False,m
160,701,999,621,235,0.96,False,m
163,702,999,629,237,0.97,False,m
166,702,999,615,238,0.96,False,m
169,704,999,623,246,0.97,False,m
166,704,999,624,235,0.96,False,m
169,702,999,614,240,0.96,False,m
165,699,999,612,243,0.96,False,m
169,704,999,623,260,0.97,False,m
166,711,999,608,253,0.96,False,m
11,999,999,86,219,1.10,False,n
20,999,999,81,217,1.09,False,n
20,999,999,90,215,1.09,False,n
17,999,999,89,222,1.10,False,n
19,999,999,87,212,1.10,False,n
14,999,999,84,217,1.10,False,n
14,999,999,84,217,1.10,False,n
11,999,999,86,221,1.10,False,n
15,999,999,83,231,1.09,False,n
4,997,999,88,224,1.10,False,n
4,999,999,87,233,1.09,False,n
16,999,999,90,222,1.10,False,n
14,999,999,92,240,1.10,False,n
22,985,999,93,224,1.09,False,n
19,993,999,95,218,1.10,False,n
16,999,999,95,224,1.10,False,n
16,995,999,92,214,1.10,False,n
16,999,999,93,218,1.09,False,n
13,999,999,93,224,1.10,False,n
16,999,999,95,219,1.10,False,n
12,999,999,94,219,1.10,False,n
10,999,999,93,219,1.09,False,n
5,999,999,96,219,1.10,False,n
5,999,999,97,212,1.10,False,n
13,999,999,97,215,1.11,False,n
10,999,999,91,217,1.09,False,n
7,999,999,93,218,1.10,False,n
18,999,999,95,219,1.10,False,n
12,999,999,97,214,1.10,False,n
10,999,999,93,212,1.10,False,n
190,912,999,68,305,1.23,True,ñ
183,911,999,82,289,1.21,False,ñ
198,999,999,78,303,1.08,True,ñ
240,985,999,63,293,1.19,True,ñ
171,968,999,66,272,0.96,True,ñ
187,999,999,77,283,1.08,True,ñ
180,959,999,69,309,1.02,False,ñ
162,976,999,62,298,0.99,True,ñ
219,968,999,49,270,1.16,True,ñ
172,953,999,67,292,1.01,True,ñ
130,981,999,69,289,0.87,True,ñ
189,925,999,64,257,1.05,False,ñ
165,960,999,54,282,1.19,True,ñ
189,928,999,49,274,1.24,True,ñ
151,950,999,56,263,1.15,True,ñ
132,971,999,61,259,1.00,True,ñ
143,974,999,63,267,0.80,False,ñ
160,948,999,66,303,1.03,True,ñ
184,984,999,52,269,1.21,True,ñ
155,944,999,52,280,0.99,True,ñ
135,974,999,61,293,1.27,True,ñ
138,974,999,62,295,1.26,False,ñ
145,964,999,66,303,1.14,True,ñ
172,952,999,54,283,1.10,False,ñ
155,954,999,56,280,1.13,True,ñ
120,963,999,60,283,1.04,True,ñ
137,922,999,61,270,0.98,False,ñ
135,953,999,59,292,1.00,True,ñ
151,899,999,59,286,1.17,True,ñ
141,857,999,54,260,1.11,True,ñ
149,95,211,79,199,1.01,False,o
149,98,222,84,199,1.01,False,o
153,99,227,84,201,1.01,False,o
152,103,229,83,201,1.02,False,o
152,95,218,82,193,1.02,False,o
152,96,213,83,196,1.01,False,o
153,99,222,84,196,1.02,False,o
155,98,227,84,198,1.04,False,o
152,99,227,83,199,1.03,False,o
157,98,222,83,204,1.03,False,o
158,98,225,83,196,1.03,False,o
160,97,229,82,193,1.04,False,o
158,98,229,83,199,1.03,False,o
162,99,229,82,196,1.03,False,o
160,101,232,83,199,1.02,False,o
156,97,220,82,191,1.03,False,o
160,102,229,81,195,1.03,False,o
163,101,241,82,196,1.04,False,o
159,101,232,84,196,1.03,False,o
158,101,229,86,198,1.03,False,o
155,102,232,86,195,1.02,False,o
158,101,227,91,208,1.01,False,o
158,103,232,90,198,1.04,False,o
158,101,229,88,195,1.03,False,o
158,102,227,86,196,1.02,False,o
155,103,227,95,199,1.01,False,o
155,104,229,103,191,1.00,False,o
165,102,232,108,196,1.02,False,o
167,98,227,109,195,1.04,False,o
163,103,229,109,191,1.03,False,o
878,727,999,802,558,0.88,False,p
873,729,999,794,548,0.85,False,p
875,732,999,794,539,0.80,False,p
872,723,999,795,536,0.78,False,p
816,723,999,786,523,0.77,False,p
810,720,999,788,519,0.78,False,p
808,727,999,791,525,0.79,False,p
807,720,999,792,519,0.79,False,p
807,723,999,788,535,0.79,False,p
811,720,999,786,531,0.78,False,p
795,719,999,784,515,0.80,False,p
799,733,999,780,522,0.80,False,p
787,720,999,787,516,0.78,False,p
771,716,999,788,535,0.79,False,p
769,717,999,786,535,0.80,False,p
766,714,999,783,551,0.79,False,p
761,698,999,775,535,0.81,False,p
777,702,999,776,544,0.80,False,p
779,701,999,775,542,0.81,False,p
783,693,999,779,560,0.81,False,p
752,699,999,776,560,0.79,False,p
740,695,999,776,555,0.79,False,p
769,696,999,774,568,0.80,False,p
777,688,999,774,547,0.82,False,p
790,689,999,775,558,0.81,False,p
803,687,999,770,561,0.79,False,p
793,689,999,775,564,0.78,False,p
793,682,999,774,551,0.79,False,p
806,674,999,773,551,0.79,False,p
803,675,999,773,549,0.80,False,p
650,203,18,31,82,1.47,False,q
643,219,20,33,76,0.26,True,q
633,224,6,29,69,0.76,False,q
641,204,23,33,70,0.47,True,q
655,217,13,33,70,1.30,False,q
619,198,30,31,75,0.22,True,q
623,205,18,31,73,0.69,True,q
769,216,13,31,72,1.08,False,q
656,220,20,31,78,0.28,True,q
596,220,16,29,72,0.92,False,q
642,224,25,31,75,0.48,True,q
669,228,23,33,81,0.98,True,q
607,264,27,31,73,1.08,True,q
599,267,44,31,75,-0.03,True,q
699,266,37,36,99,1.47,False,q
626,258,44,35,95,0.36,True,q
600,251,32,32,95,0.71,True,q
999,248,30,32,95,0.64,True,q
717,249,30,32,95,0.67,True,q
667,246,51,32,98,0.82,False,q
643,242,39,29,107,0.47,True,q
710,240,37,33,127,1.36,False,q
715,246,37,31,121,0.13,True,q
610,246,44,32,124,0.85,True,q
953,250,32,32,127,1.00,False,q
725,248,46,32,108,0.61,True,q
680,245,55,32,98,0.95,False,q
751,246,55,33,105,0.32,True,q
708,252,53,38,97,1.43,False,q
689,248,60,33,98,0.53,True,q
4,154,999,0,130,0.94,False,r
5,157,999,0,138,0.95,False,r
4,152,999,0,131,0.94,False,r
25,159,999,0,123,0.92,False,r
20,160,999,0,115,0.98,False,r
32,161,999,0,118,0.94,False,r
27,160,999,0,120,0.92,False,r
18,168,999,0,123,1.05,False,r
18,179,999,0,123,0.94,False,r
39,184,999,0,138,0.92,False,r
45,169,999,0,138,0.96,False,r
52,154,999,0,138,0.95,False,r
89,154,999,0,124,0.96,False,r
87,156,999,0,120,0.96,False,r
82,168,999,0,128,1.00,False,r
76,178,999,0,124,0.94,False,r
84,182,999,0,115,0.97,False,r
73,186,999,0,102,0.93,False,r
78,179,999,0,115,0.95,False,r
76,169,999,0,99,0.94,False,r
62,163,999,0,112,0.94,False,r
73,162,999,0,112,0.96,False,r
74,160,999,0,95,0.96,False,r
85,160,999,0,95,0.95,False,r
87,163,999,0,104,0.96,False,r
92,151,999,0,112,0.95,False,r
84,151,999,0,95,0.96,False,r
92,151,999,0,105,0.95,False,r
100,150,999,0,105,0.95,False,r
101,159,999,0,108,0.96,False,r
16,31,4,75,121,1.07,False,s
16,28,0,70,118,1.05,False,s
16,33,23,68,125,1.06,False,s
16,31,23,68,124,1.05,False,s
16,29,23,70,125,1.04,False,s
15,30,18,65,124,1.03,False,s
13,31,11,66,118,1.04,False,s
14,29,18,64,130,1.04,False,s
14,30,13,66,133,1.05,False,s
13,29,18,65,125,1.06,False,s
13,31,23,66,121,1.04,False,s
4,26,4,64,127,1.05,False,s
12,29,9,64,127,1.05,False,s
2,28,16,65,130,1.05,False,s
11,27,9,64,127,1.06,False,s
2,31,18,64,130,1.05,False,s
1,29,6,63,121,1.04,False,s
4,29,13,63,124,1.05,False,s
9,29,18,61,125,1.05,False,s
4,31,16,62,127,1.04,False,s
5,29,27,60,124,1.06,False,s
3,29,18,60,133,1.05,False,s
5,26,18,61,130,1.05,False,s
4,29,16,61,127,1.04,False,s
2,26,9,62,130,1.03,False,s
0,31,23,61,123,1.06,False,s
2,25,9,60,121,1.04,False,s
4,25,18,62,124,1.05,False,s
0,26,13,63,127,1.05,False,s
0,26,18,64,127,1.06,False,s
0,196,304,112,999,0.88,False,t
0,198,306,115,999,0.90,False,t
0,197,292,113,955,0.89,False,t
0,197,292,111,952,0.89,False,t
0,200,297,112,998,0.91,False,t
0,199,301,111,986,0.89,False,t
0,196,294,111,981,0.89,False,t
0,198,301,111,983,0.87,False,t
0,198,297,111,978,0.89,False,t
0,198,299,115,978,0.90,False,t
0,195,301,113,992,0.90,False,t
0,196,301,113,999,0.90,False,t
0,197,311,112,999,0.88,False,t
0,196,304,110,999,0.89,False,t
0,196,297,110,983,0.90,False,t
0,194,304,112,983,0.90,False,t
0,194,301,111,999,0.89,False,t
0,193,297,111,992,0.90,False,t
0,194,304,114,999,0.89,False,t
0,194,311,115,999,0.90,False,t
0,193,311,115,989,0.90,False,t
0,194,301,116,976,0.90,False,t
0,189,306,114,995,0.88,False,t
0,192,315,115,988,0.90,False,t
0,194,301,115,955,0.90,False,t
0,192,292,113,960,0.90,False,t
0,191,308,110,965,0.88,False,t
0,192,290,113,972,0.91,False,t
0,191,306,111,949,0.90,False,t
0,191,292,109,957,0.89,False,t
30,947,999,62,289,1.02,False,u
30,933,999,60,289,1.01,False,u
36,925,999,60,303,1.02,False,u
33,941,999,58,295,1.02,False,u
33,949,999,59,298,1.02,False,u
39,951,999,57,295,1.01,False,u
43,943,999,56,286,1.00,False,u
45,946,999,58,283,1.02,False,u
43,944,999,64,289,1.01,False,u
45,944,999,64,289,1.00,False,u
52,953,999,60,303,1.03,False,u
51,946,999,64,293,1.00,False,u
47,928,999,67,286,1.02,False,u
52,900,999,76,287,1.03,False,u
54,902,999,70,292,1.03,False,u
55,912,999,68,293,1.03,False,u
55,914,999,64,292,1.02,False,u
53,904,999,64,287,1.03,False,u
53,902,999,60,287,1.01,False,u
52,904,999,62,283,1.03,False,u
52,902,999,65,292,1.02,False,u
62,915,999,60,292,1.03,False,u
59,912,999,59,298,1.01,False,u
52,902,999,59,286,1.03,False,u
52,898,999,60,290,1.01,False,u
52,898,999,63,293,1.01,False,u
50,893,999,66,290,1.02,False,u
51,925,999,74,299,1.01,False,u
52,938,999,72,296,1.02,False,u
56,890,999,73,295,1.03,False,u
0,680,999,0,0,0.95,False,v
0,676,999,0,0,0.96,False,v
0,671,999,0,0,0.96,False,v
0,669,999,0,0,0.96,False,v
0,673,999,0,0,0.96,False,v
0,670,999,0,0,0.96,False,v
0,667,999,0,0,0.97,False,v
0,665,999,0,0,0.96,False,v
0,664,999,0,0,0.94,False,v
0,670,999,0,0,0.96,False,v
0,667,999,0,0,0.94,False,v
0,667,999,0,0,0.96,False,v
0,673,999,0,0,0.96,False,v
0,669,999,0,0,0.96,False,v
0,668,999,0,0,0.96,False,v
0,667,999,0,0,0.96,False,v
0,662,999,0,0,0.99,False,v
0,664,999,0,0,0.96,False,v
0,665,999,0,0,0.97,False,v
0,678,999,0,0,0.95,False,v
0,679,999,0,0,0.98,False,v
0,671,999,0,0,0.96,False,v
0,675,999,0,0,0.95,False,v
0,672,999,0,0,0.94,False,v
0,683,999,0,0,0.97,False,v
0,682,999,0,0,0.96,False,v
0,684,999,0,0,0.95,False,v
0,683,999,0,0,0.97,False,v
0,678,999,0,0,0.95,False,v
0,678,999,0,0,0.97,False,v
33,999,999,584,0,0.88,False,w
38,999,999,578,0,0.91,False,w
37,999,999,590,0,0.88,False,w
37,999,999,593,0,0.87,False,w
27,999,999,597,0,0.89,False,w
29,999,999,584,0,0.86,False,w
27,999,999,588,0,0.88,False,w
30,999,999,601,0,0.87,False,w
27,999,999,594,0,0.89,False,w
33,999,999,601,0,0.87,False,w
36,999,999,607,0,0.89,False,w
34,999,999,596,0,0.90,False,w
36,999,999,579,0,0.87,False,w
38,999,999,594,0,0.89,False,w
44,999,999,589,0,0.88,False,w
46,999,999,598,0,0.88,False,w
55,999,999,611,0,0.87,False,w
61,999,999,596,0,0.87,False,w
60,999,999,594,0,0.87,False,w
59,999,999,603,0,0.87,False,w
62,999,999,602,0,0.87,False,w
75,999,999,621,0,0.88,False,w
60,999,999,597,0,0.88,False,w
55,999,999,618,0,0.86,False,w
59,999,999,606,0,0.90,False,w
42,999,999,579,0,0.89,False,w
40,999,999,557,0,0.89,False,w
42,999,999,621,0,0.88,False,w
45,999,999,624,0,0.88,False,w
56,999,999,607,0,0.87,False,w
833,83,90,120,277,0.63,False,x
875,87,92,146,299,0.59,False,x
834,86,111,143,300,0.94,False,x
815,85,95,122,283,0.99,False,x
856,83,116,115,289,1.20,False,x
884,87,97,123,289,0.89,False,x
871,91,118,148,299,0.62,False,x
815,89,116,129,293,0.57,False,x
835,87,111,114,300,1.61,False,x
861,86,109,127,309,0.63,False,x
870,89,125,147,312,0.17,False,x
813,87,125,125,306,1.11,False,x
841,87,120,119,293,1.48,False,x
838,87,118,133,300,0.80,False,x
893,90,134,150,309,0.22,False,x
843,89,118,146,306,0.68,False,x
843,89,116,129,312,1.65,False,x
835,88,116,136,305,1.00,False,x
861,92,130,180,303,0.32,False,x
801,90,125,191,302,0.76,False,x
796,87,92,159,308,1.60,False,x
782,89,97,159,309,0.92,False,x
931,93,125,213,311,0.72,False,x
846,89,123,190,309,0.54,False,x
747,89,130,167,299,2.22,True,x
784,86,111,145,306,1.09,False,x
802,89,120,168,303,0.45,False,x
902,89,116,172,324,0.37,True,x
818,101,118,136,327,2.21,True,x
830,97,134,151,327,0.17,True,x
999,516,508,749,801,0.64,False,y
999,529,508,750,830,0.63,False,y
999,536,511,749,826,0.60,False,y
999,522,511,749,823,0.64,False,y
999,538,501,750,807,0.63,False,y
999,506,494,747,811,0.63,False,y
999,506,508,733,795,0.64,False,y
999,497,511,694,819,0.63,False,y
999,486,506,650,814,0.62,False,y
999,476,506,649,813,0.65,False,y
999,469,506,680,804,0.64,False,y
999,464,504,707,813,0.63,False,y
999,467,506,726,785,0.63,False,y
999,491,504,725,774,0.63,False,y
999,496,513,725,791,0.62,False,y
999,493,518,727,803,0.62,False,y
999,494,511,720,821,0.62,False,y
999,501,525,739,845,0.63,False,y
